Account,Quantity(GOAT),Tokens Held,SOL Balance,Wallet Age
BuFERfmNrsTtLd5ubE77y3Vk8vKm5A6MtzmnH2kMnoy3,1083000.68,,,
9A6MKpQMK4D8zuxnXr1S34eYa45zyPWrXTrirKW2X7hc,1073822.08,,,
DEiDqiiBQi54ZdVXKcq2sP5TobTWH258JL3gZgDYE6oD,1072695.16,,,
CyQMjdDttJAY7rGqSz1hoLzrj6yQVtyGcySzYJGWA2fZ,1071139.35,,,
7uPxq21fEubhXtsuuxdF6pjPZyNjN2XXkNxkok6KVqu1,1058194.16,,,
EsqEkirkY6s1RPsb3YaJZcP4APQz77BWmBAVCsbNNhpj,1048617.16,,,
Eb71c6ABPQGkYkrDrHQzHbfXaKuj91Qr3WEFJhSu5fmk,1043930.76,,,
7rpGxGTGTh6Zw3XvGaNvgxzvqit4VB1BoSHyDRqiwsLA,1043467.47,,,
DiKD8kVJpyaZUSNZL4gcuHix6bmG29ELa3XZkQLBYFm4,1029416.53,,,
GHw9C1Lk3SZzMUySygNdzxk5HvQseBp4MJAenETaimVs,1022728.99,,,
8Hkbb3fkyBZi92dtGEXWuZyErRhUHSnHwTQJjxr32upg,1019394.68,,,
G2GPGWE57JFvSj6TWUMfujeGHHB1MfoBFRvK2wEVj7we,1015587.27,,,
49f6AWD2o3kpnZbLhjka85yDbcnXCrZ2AkFNUTWJatoJ,1014912.25,,,
HJkbfETsz5Gg1RJp8rt1zeNd33zwETwakg3f6SZFZQ38,1003641.63,,,
6g7NphUCPN8965YrbZDTQyaMoEnKe817Q8DmKE7516rX,1002537.56,,,
FsseMD7SQoZ9cD2SYrG9PjfbKrrzAm7kHk2PZTMpQgeW,1002000.01,,,
8nQHwZJESRTpxo5PnCKum9rfMBxcDmhFgjxycdQ9sN7L,1000478.61,,,
5zsbHMxdgLUPMFPHTwCykxbbmQ6R7dd8T9vhzWKfuTdm,1000001.00,,,
65cTZJFTYKUFdRfbVXCrpBAb7xqeKBWU1HtUDfrkSMod,1000000.00,,,
AF2dFF4JscyGvSq3cvavzFXX9EnD17ALxMkJB8ELpjow,1000000.00,,,
8rMiwHGEmtJNWvjniLrTU5a94ujNaqZBfsSf5CXrKgF4,1000000.00,,,
54fvqwLquu42vancLT7FZKT5DZLi7s1JNhw6UxsQvNy3,1000000.00,,,
Bsuy1srqbPkuAoam7aw1D4LHqU1UVS2ejG2iVdFBYY38,1000000.00,,,
